Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,pfr_id
306,Derrick Alexander,MIN,WR,31,8,5,0,0,0,0,0,0,0,,0,39,14,134,9.57,1,0,,1,,,19,33.4,36.4,26.4,,118,,AlexDe00
307,Mike Green,TEN,RB,26,15,2,0,0,0,0,0,21,71,3.38,0,10,7,57,8.14,1,0,,1,,,19,25.8,25.8,22.3,,94,,GreeMi00
308,Ken-Yon Rambo,DAL,WR,24,16,0,0,0,0,0,0,0,0,,0,33,14,211,15.07,0,3,1,0,,,19,33.1,37.1,26.1,,120,,RambKe00
309,Karl Williams,TAM,WR,31,16,2,0,0,0,0,0,3,-5,-1.67,0,11,7,77,11.00,1,0,,2,,,19,26.2,26.2,22.7,,119,,WillKa00
310,Steve Bush,ARI,TE,28,16,12,0,0,0,0,0,0,0,,0,27,19,121,6.37,1,0,,1,,,18,37.1,40.1,27.6,,45,,BushSt00
311,Reuben Droughns,DEN,RB,24,16,0,0,0,0,0,0,4,11,2.75,1,7,5,53,10.60,1,0,,2,,,18,23.4,23.4,20.9,,95,,DrouRe00
312,Adrian Peterson,CHI,RB,23,9,0,0,0,0,0,0,19,101,5.32,1,4,3,18,6.00,0,0,,1,,,18,20.9,23.9,19.4,,97,,PeteAd00
313,Troy Walters,IND,WR,26,16,1,0,0,0,0,0,2,33,16.50,0,25,18,207,11.50,0,7,3,0,,,18,36.0,42.0,27.0,,121,,WaltTr00
314,Lamont Warren,DET,RB,29,3,1,0,0,0,0,0,6,8,1.33,0,12,4,56,14.00,2,0,,2,,,18,22.4,22.4,20.4,,96,,WarrLa00
315,Henry Burris,CHI,QB,27,6,1,18,51,207,3,5,15,104,6.93,0,0,0,0,,0,4,2,0,,,17,16.7,26.7,21.7,,53,,BurrHe00
316,Cam Cleeland,NWE,TE,27,12,1,0,0,0,0,0,0,0,,0,21,16,112,7.00,1,0,,1,,,17,33.2,36.2,25.2,,47,,CleeCa00
317,Tyrone Davis,GNB,TE,30,9,2,0,0,0,0,0,0,0,,0,11,9,107,11.89,1,0,,1,,,17,25.7,28.7,21.2,,48,,DaviTy00
318,Steve Heiden,CLE,TE,26,16,6,0,0,0,0,0,0,0,,0,19,17,105,6.18,1,0,,1,,,17,33.5,36.5,25.0,,51,,HeidSt00
