Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,pfr_id
1,Christian McCaffrey,SFO,RB,27,14,14,0,0,0,0,0,244,1292,5.30,13,68,57,509,8.93,7,3,2,20,,,296,353.1,361.1,324.6,157,1,1,McCaCh01
2,Tyreek Hill,MIA,WR,29,13,13,0,0,0,0,0,5,15,3.00,0,132,97,1542,15.90,12,1,1,12,,,226,322.7,326.7,274.2,111,1,2,HillTy00
3,Raheem Mostert,MIA,RB,31,14,14,0,0,0,0,0,198,966,4.88,18,31,24,171,7.13,2,4,1,20,,,232,255.7,262.7,243.7,97,2,3,MostRa00
4,CeeDee Lamb,DAL,WR,24,14,14,0,0,0,0,0,10,87,8.70,2,141,103,1306,12.68,8,2,1,10,1,,199,302.3,306.3,250.8,86,2,4,LambCe00
5,Josh Allen,BUF,QB,27,14,14,325,490,3541,26,14,80,398,4.98,11,0,0,0,,0,4,3,11,,3,323,323.4,346.4,337.4,85,1,5,AlleJo02
6,Jalen Hurts,PHI,QB,25,14,14,303,461,3335,19,12,139,542,3.90,14,0,0,0,,0,8,5,14,,,314,313.6,336.6,325.6,76,2,6,HurtJa00
7,Mike Evans,TAM,WR,30,14,14,0,0,0,0,0,0,0,,0,115,66,1077,16.32,11,0,0,11,,,174,239.7,242.7,206.7,62,3,7,EvanMi00
8,Keenan Allen,LAC,WR,31,13,13,1,2,49,1,0,2,6,3.00,0,150,108,1243,11.51,7,2,1,7,,,171,278.9,282.9,224.9,60,5,8,AlleKe00
9,A.J. Brown,PHI,WR,26,14,14,0,0,0,0,0,0,0,,0,141,95,1314,13.83,7,1,1,7,,,171,266.4,270.4,218.9,60,4,9,BrowAJ00
10,Travis Etienne,JAX,RB,24,14,14,0,0,0,0,0,229,837,3.66,9,62,48,411,8.56,1,0,0,10,2,,189,236.8,242.8,212.8,56,3,10,EtieTr00
11,Sam LaPorta,DET,TE,22,14,12,0,0,0,0,0,1,4,4.00,0,98,71,758,10.68,9,0,0,9,2,,134,205.2,208.2,169.7,53,1,11,LaPoSa01
12,Deebo Samuel,SFO,WR,27,12,12,0,1,0,0,0,31,172,5.55,5,69,49,787,16.06,6,1,0,11,,,162,210.9,216.9,186.4,51,6,12,SamuDe00
13,D.J. Moore,CHI,WR,26,14,14,0,0,0,0,0,4,21,5.25,1,111,80,1123,14.04,7,1,1,8,,,160,240.4,244.4,200.4,50,7,13,MoorD.00
14,Amon-Ra St. Brown,DET,WR,24,13,13,0,0,0,0,0,3,13,4.33,0,132,94,1175,12.50,7,1,1,7,,,159,252.8,256.8,205.8,48,8,14,StxxAm00
15,Kyren Williams,LAR,RB,23,10,9,0,0,0,0,0,186,953,5.12,8,46,30,192,6.40,3,3,2,11,1,,179,208.5,216.5,193.5,47,4,15,WillKy02
16,Ja'Marr Chase,CIN,WR,23,14,14,1,1,-7,0,0,3,-6,-2.00,0,132,93,1156,12.43,7,1,0,7,,,157,249.7,252.7,203.2,46,9,16,ChasJa00
17,Rachaad White,TAM,RB,24,14,14,0,0,0,0,0,222,834,3.76,5,55,50,469,9.38,3,2,1,8,,,176,226.3,233.3,201.3,45,5,17,WhitRa01
18,Dak Prescott,DAL,QB,30,14,14,333,484,3639,28,7,48,212,4.42,2,0,0,0,,0,2,1,2,,2,279,278.8,292.8,285.8,43,3,18,PresDa01
19,James Cook,BUF,RB,24,14,10,0,0,0,0,0,188,968,5.15,2,47,40,433,10.83,4,2,1,6,,,174,214.1,221.1,194.1,43,6,19,CookJa01
20,Stefon Diggs,BUF,WR,30,14,14,0,0,0,0,0,0,0,,0,137,91,1041,11.44,8,2,1,8,1,,152,243.1,247.1,197.6,42,10,20,DiggSt00
21,George Kittle,SFO,TE,30,14,14,0,0,0,0,0,1,2,2.00,0,76,55,865,15.73,6,0,0,6,,,123,177.7,180.7,150.2,42,2,21,KittGe00
22,Derrick Henry,TEN,RB,29,14,14,1,2,2,1,0,230,884,3.84,10,34,27,203,7.52,0,0,0,10,,,173,199.8,205.8,186.3,41,7,22,HenrDe00
23,Brock Purdy,SFO,QB,24,14,14,268,384,3795,29,7,37,138,3.73,2,0,0,0,,0,6,2,2,,,276,275.6,290.6,282.6,40,4,23,PurdBr00
24,Travis Kelce,KAN,TE,34,13,13,0,0,0,0,0,0,0,,0,110,85,924,10.87,5,1,1,5,,,120,205.4,209.4,162.9,40,3,24,KelcTr00
